ip,round,value
10.42.0.123,1588,9.598729169513911
10.42.0.123,1678,9.876771190754758
10.42.0.123,1767,8.05713153549652
10.42.0.123,1855,8.825523507428665
10.42.0.123,1942,8.189533003888947
10.42.0.123,2021,8.402395687587635
10.42.0.123,2056,8.583477049685415
10.42.0.123,2089,8.741139521983204
10.42.0.123,2154,8.995788964362907
10.42.0.123,2274,9.148150114147665
10.42.0.123,2400,9.384228464348734
10.42.0.123,2494,5.05048462022987
10.42.0.123,2582,7.908061663032766
10.42.0.123,2672,9.039888599618171
10.42.0.123,2762,8.114995713553736
10.42.0.123,2849,8.26381696274918
10.42.0.123,2937,9.022989891342394
10.42.0.123,3026,9.4971451284453
10.42.0.123,3093,9.69976432392297
10.42.0.123,3124,9.76707509999111
10.42.0.123,3158,9.867736528897439
10.42.0.123,3253,5.06326963598724
10.42.0.123,3377,8.837803511360425
10.42.0.123,3489,9.40121882009637
10.42.0.123,3577,8.327926508749838
10.42.0.123,3667,8.216138330915237
10.42.0.123,3757,8.542686942842488
10.42.0.123,3847,8.91425479161722
10.42.0.123,3935,9.44896718687134
10.42.0.123,4023,9.881291274260423
10.42.0.123,4110,11.027780861741261
10.42.0.123,4156,5.061653997321877
10.42.0.123,4192,6.82729046278886
10.42.0.123,4222,7.779643394358143
10.42.0.123,4335,9.302884826962377
10.42.0.123,4463,9.426784535862463
10.42.0.123,4567,8.838023672065104
10.42.0.123,4656,9.334982179905362
10.42.0.123,4747,9.47729365346509
10.42.0.123,4835,9.597536774669921
10.42.0.123,4925,9.764732301407792
10.42.0.116,5004,9.96042246359494
10.42.0.116,5091,9.730740529255973
10.42.0.116,5179,9.653376599570063
10.42.0.116,5267,9.797893798849687
10.42.0.116,5355,10.062764572088355
10.42.0.116,5443,10.205254592306655
10.42.0.116,5532,10.997812827519764
10.42.0.116,5619,11.443442921902346
10.42.0.116,5708,10.578506671033502
10.42.0.116,5776,10.194396126707542
10.42.0.116,5837,10.040493902576909
10.42.0.116,5908,9.981565855429213
10.42.0.116,6002,10.025546022609007
10.42.0.116,6085,10.328033603476165
10.42.0.116,6173,10.543064975007251
10.42.0.116,6261,10.444666137761411
10.42.0.116,6350,11.228062019426764
10.42.0.116,6433,11.427083464717992
10.42.0.116,6524,10.471283583303956
10.42.0.116,6610,9.916579075900177
10.42.0.116,6697,9.980032089443565
10.42.0.116,6785,10.063719653552063
10.42.0.116,6847,10.320566628279666
10.42.0.116,6922,10.56419786019209
10.42.0.116,7001,10.68426795777427
10.42.0.116,7085,10.623106378443003
10.42.0.116,7167,9.946285938486971
10.42.0.116,7256,11.22840611118784
10.42.0.116,7344,10.989943273850127
10.42.0.116,7433,10.748806655190753
10.42.0.116,7523,10.063757858106737
10.42.0.116,7613,10.252676376626715
10.42.0.116,7703,10.26975245324667
10.42.0.116,7792,10.233769659503867
10.42.0.116,7880,10.20997987445475
10.42.0.116,7943,10.216313518605062
10.42.0.116,8028,10.233323858330952
10.42.0.116,8114,10.503717904291376
10.42.0.116,8200,12.139026568327322
