ip,round,value
10.42.0.123,2643,0.0
10.42.0.123,2666,0.0
10.42.0.123,2687,0.0
10.42.0.123,2746,0.0
10.42.0.123,2806,0.0
10.42.0.123,2865,0.0
10.42.0.123,2923,0.0
10.42.0.123,2981,0.0
10.42.0.123,3031,0.0
10.42.0.123,3088,0.0
10.42.0.123,3162,0.0
10.42.0.123,3188,0.0
10.42.0.123,3224,0.0
10.42.0.123,3249,0.0
10.42.0.123,3259,0.0
10.42.0.123,3260,0.0
10.42.0.123,3296,0.0
10.42.0.123,3328,0.0
10.42.0.123,3366,0.0
10.42.0.123,3412,0.0
10.42.0.123,3451,0.0
10.42.0.123,3490,0.0
10.42.0.123,3538,0.0
10.42.0.123,3590,0.0
10.42.0.123,3647,0.0
10.42.0.123,3697,0.0
10.42.0.123,3717,0.0
10.42.0.123,3736,0.0
10.42.0.123,3768,0.0
10.42.0.123,3823,0.0
10.42.0.123,3876,0.0
10.42.0.123,3930,0.0
10.42.0.123,3988,0.0
10.42.0.123,4046,0.0
10.42.0.123,4103,0.0
10.42.0.123,4155,0.0
10.42.0.123,4208,0.0
10.42.0.123,4257,0.0
10.42.0.123,4287,0.0
10.42.0.123,4301,0.0
10.42.0.123,4316,0.0
10.42.0.123,4337,0.0
10.42.0.123,4375,0.0
10.42.0.123,4414,0.0
10.42.0.123,4445,0.0
10.42.0.123,4479,0.0
10.42.0.123,4509,0.0
10.42.0.123,4544,0.0
10.42.0.123,4582,0.0
10.42.0.123,4621,0.0
10.42.0.123,4670,0.0
10.42.0.123,4708,0.0
ip,round,value
10.42.0.116,9,9.680750292758479
10.42.0.116,39,9.053598468918606
10.42.0.116,66,8.844988010273998
10.42.0.116,95,8.758816966867311
10.42.0.116,110,9.960391251105698
10.42.0.116,117,9.713457117229279
10.42.0.116,129,9.391056812339485
10.42.0.116,151,9.020008657829333
10.42.0.116,178,8.779546573711025
10.42.0.116,211,8.690169266106171
10.42.0.116,239,8.89147231866034
10.42.0.116,270,9.190431542577361
10.42.0.116,299,10.142535105583312
10.42.0.116,328,9.571256421479477
10.42.0.116,355,9.700448708495935
10.42.0.116,384,8.504674845472287
10.42.0.116,411,8.131011772744728
10.42.0.116,428,8.079840429747524
10.42.0.116,439,8.083116807140941
10.42.0.116,448,8.099753068600943
10.42.0.116,465,8.155272701509736
10.42.0.116,492,8.262404406177861
10.42.0.116,521,8.363830052293965
10.42.0.116,549,8.467640767666204
10.42.0.118,16,13.617879437442726
10.42.0.118,48,10.494689612977371
10.42.0.118,77,9.413704559573508
10.42.0.118,108,8.964640179768468
10.42.0.118,124,8.848111251624303
10.42.0.118,136,8.785604783616987
10.42.0.118,149,8.732829644622802
10.42.0.118,174,8.658268350845786
10.42.0.118,212,8.647273932315304
10.42.0.118,248,8.969940739743826
10.42.0.118,277,14.202052788970587
10.42.0.118,307,11.801572572729587
10.42.0.118,338,10.13237726774162
10.42.0.118,379,8.52691689515255
10.42.0.118,420,8.054161367532023
10.42.0.118,461,8.130688007065114
10.42.0.118,502,8.299562103820868
10.42.0.118,527,8.386057457178348
10.42.0.118,542,8.442467919228271
10.42.0.118,557,8.502419717026196
10.42.0.118,588,12.995941948308804
10.42.0.118,638,10.28223691529484
10.42.0.118,687,9.377147340478208
10.42.0.118,731,8.94108468668349
10.42.0.118,775,8.901155430798644
10.42.0.118,813,8.195428879805291
10.42.0.118,855,7.763825583950659
10.42.0.118,896,7.827330874855243
10.42.0.118,938,8.083099819916008
10.42.0.118,979,8.295316133929889
10.42.0.119,26,7.458673294834769
10.42.0.119,78,8.817412806128086
10.42.0.119,127,8.672297037162206
10.42.0.119,188,8.465840150709786
10.42.0.119,238,9.64148470867945
10.42.0.119,298,9.831990972142599
10.42.0.119,350,5.08393061783525
10.42.0.119,394,7.42177703049703
10.42.0.119,417,7.950568010775429
10.42.0.119,433,8.088156010693181
10.42.0.119,456,8.143985080177856
10.42.0.119,504,8.233029260344587
10.42.0.119,558,8.61056981572288
10.42.0.119,618,8.771428553544284
10.42.0.119,681,10.291228657515834
10.42.0.119,739,9.765710837058647
10.42.0.119,798,5.588073639785555
10.42.0.119,870,7.701371104019475
10.42.0.119,933,8.08274705935876
10.42.0.119,993,8.159570378531965
10.42.0.119,1050,8.175277876803165
10.42.0.119,1077,8.12824349468492
10.42.0.119,1096,8.130842128418138
10.42.0.119,1121,8.174373578379944
10.42.0.119,1171,9.554895612804982
10.42.0.119,1231,10.104184256998641
10.42.0.119,1291,5.170353720524779
10.42.0.119,1346,7.824863881420071
10.42.0.119,1409,8.668445429037977
10.42.0.119,1459,8.707872543693272
10.42.0.119,1518,8.67894759974549
10.42.0.119,1578,8.655541343957255
10.42.0.119,1624,8.526586156085624
10.42.0.119,1670,8.51758850194617
10.42.0.119,1693,8.883007536729206
10.42.0.119,1712,9.52314301863331
10.42.0.120,27,10.521689444834875
10.42.0.120,60,8.437250475201774
10.42.0.120,93,7.991130067678212
10.42.0.120,128,13.689295507668097
10.42.0.120,162,10.374965709834932
10.42.0.120,208,9.166043349155728
10.42.0.120,253,8.966665745131047
10.42.0.120,292,8.678436179856476
10.42.0.120,309,8.027587699785109
10.42.0.120,320,7.7785267050853
10.42.0.120,330,7.690248235895161
10.42.0.120,355,7.775890085835026
10.42.0.120,387,7.974601729969154
10.42.0.120,419,13.728207466170572
10.42.0.120,447,10.737632530697123
10.42.0.120,483,9.288084654940075
10.42.0.120,520,8.721415833892085
10.42.0.120,558,8.419063983838294
10.42.0.120,602,8.299739203214385
10.42.0.120,658,8.292512702356252
