ip,round,value
10.42.0.116,4325,9.0301951309561
10.42.0.116,4380,8.95094385270344
10.42.0.118,89,0.0
10.42.0.118,179,0.0
10.42.0.118,262,0.0
10.42.0.118,339,2.6478730758447044
10.42.0.118,418,4.128438586720486
10.42.0.118,504,3.546593345858876
10.42.0.118,595,3.173262744098877
10.42.0.118,685,3.159113379563144
10.42.0.118,775,3.155923690693511
10.42.0.118,866,14.530966260814585
10.42.0.118,957,7.03487927308363
10.42.0.118,1046,6.501203377020985
10.42.0.118,1131,5.526224523309468
10.42.0.118,1220,6.425672792813437
10.42.0.118,1307,6.549946740786233
10.42.0.118,1370,6.29980018132924
10.42.0.118,1429,6.251370679778467
10.42.0.118,1476,6.249757129691762
10.42.0.118,1556,6.120799681465189
10.42.0.118,1643,14.645062644479966
10.42.0.118,1730,6.8397306844889405
10.42.0.118,1816,7.898109721565318
10.42.0.118,1905,8.537200527031665
10.42.0.118,1994,8.781158811381141
10.42.0.118,2082,8.700027587863254
10.42.0.118,2166,8.18746202508707
10.42.0.118,2251,8.38327410966367
10.42.0.118,2337,8.228387027190937
10.42.0.118,2401,8.269941857539296
10.42.0.118,2461,8.229864253217048
10.42.0.118,2523,8.779438666697283
10.42.0.118,2596,8.318966738827656
10.42.0.118,2677,8.624141069181041
10.42.0.118,2759,8.824115245819739
10.42.0.118,2844,8.424068708480844
10.42.0.118,2930,8.403502025600252
10.42.0.118,3018,8.41585252737511
10.42.0.118,3104,8.219063246252874
10.42.0.118,3191,8.330251930139827
10.42.0.118,3275,13.039175955227561
10.42.0.118,3360,8.988648397676835
10.42.0.118,3429,8.800507256066895
10.42.0.118,3488,9.265386652299156
10.42.0.118,3547,8.954896408214374
10.42.0.118,3614,8.917922338834021
10.42.0.118,3693,8.64168136149799
10.42.0.118,3777,8.469052197980872
10.42.0.118,3862,8.50172098308193
10.42.0.118,3949,8.748307947895995
10.42.0.118,4034,12.89591671194538
10.42.0.118,4121,9.00885534422492
10.42.0.118,4207,9.67156648561257
10.42.0.118,4293,9.22767197887631
10.42.0.118,4377,9.207258771605774
10.42.0.118,4451,8.65291363151858
